tender_id,card_id,status,files_count,name_cont,ref_cont,customer_cont,distinctive_tokens,suspect_files,name
"0356500001425006618","88016884","ok","3","1","0.733","0.857","16","derived-2-001-trebovaniya-k-sostavu-i-soderzhaniyu-zayavki.docx.txt","Оказание услуг по предоставлению неисключительных прав (лицензий) на программное обеспечение «Компонента компьютерного зрения» Подсистемы мо"
"0356500001425006620","88016886","ok","3","1","0.729","0.857","12","derived-2-001-trebovaniya-k-sostavu-i-soderzhaniyu-zayavki.docx.txt","Оказание услуг по предоставлению неисключительных прав (лицензий) на программное обеспечение «Компонента компьютерного зрения» Подсистемы мо"
"0373100119525000268","87913684","ok","3","1","0.6","0.667","23","derived-2-001-p-5_trebovaniya-k-zayavke_razrabotka-prototipa.docx.txt","Услуги, по разработке прототипа специализированного программного обеспечения на базе искусственных нейронных сетей для бесконтактного опреде"
"0369300009925000005","87883460","ok","6","0.96","0.712","1","25","derived-2-001-ea-na-vypolnenie-rabot-okazanie-uslug-bez-tovara-trebovaniya-k-soderzhaniyu-sostavu-zayavki-6-.docx.txt ; derived-2-001-prilozhenie_k_trebovaniyam_k_soderzhaniyu_sostavu_zayavki.docx.txt ; derived-2-001-prilozhenie_k_izvescheniyu__obespechenie_kontrakta__zayavki__nezavisimaya_garantiya_.docx.txt ; derived-2-001-informacionnye-dannye-o-zakazchike.docx.txt","Оказание услуги по предоставлению лицензии на право использовать компьютерное программное обеспечение для внедрения автоматизированной исход"
"0146500000325000003","87884129","ok","4","1","0.722","1","24","derived-2-001-trebovaniya-k-soderzhaniyu-sostavu-zayavki.docx.txt","Адаптация системы электронного документооборота Правительства Липецкой области с целью повышения эффективности работы с документами с исполь"
"0869200000225006519","87653035","ok","4","1","0.744","0.889","25","derived-2-001-5137-ea-prilozhenie-n4-k-izvescheniyu-trebovaniya-k-soderzhaniyu-sostavu-zayavki-na-uchastie-v-zakupke-.docx.txt","Оказание услуги по предоставлению лицензии на право использовать компьютерное программное обеспечение для внедрения автоматизированной исход"
"0826500000925002809","87560814","ok","4","1","0.5","0.571","19","derived-2-001-prilozhenie-n4-trebovaniya-k-uchastnikam-zakupki.docx.txt ; derived-2-001-prilozhenie-n6-obrazec-deklaracii-ed.-treb.docx.txt","Оказание услуг по сопровождению системы поддержки принятия врачебных решений (СППВР) с применением технологий искусственного интеллекта по о"
"0373100103725000018","87541985","ok","3","1","0.805","1","10","","Выполнение работ по созданию Автоматической аналитической системы с технологией искусственного интеллекта для нужд ФГБУ «РФИ Минприроды Росс"
"0361200015025003765","87451356","ok","2","1","0.654","0.333","31","","Оказание услуг по адаптации прикладного программного обеспечения подсистемы ""Медицинская информационная подсистема"" и подсистемы СППВР с тех"
"0356500001425005800","87462846","ok","3","1","0.729","0.571","17","derived-2-001-trebovaniya-k-sostavu-i-soderzhaniyu-zayavki.docx.txt","ПОСТАВКА, УСТАНОВКА И ИНТЕГРАЦИЯ ЛИЦЕНЗИЙ НА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ СБОРА, ИНТЕЛЛЕКТУАЛЬНОГО АНАЛИЗА ДАННЫХ И УПРАВЛЕНИЯ ПРОЦЕССАМИ ИТ-ИНФР"
